DIRECTORIO;SECUENCIA_ENCUESTA;SECUENCIA_P;ORDEN;FEX_C;P784S1A3
7910415;3;1;3;407.089181;4
7910415;1;1;1;407.089181;2
7910415;2;1;2;407.089181;3
7910415;3;1;3;407.089181;4
7910422;1;1;1;65.562298175;2
7910422;1;1;1;65.562298175;2
7910435;1;1;1;213.70266039;3
7910435;2;1;2;213.70266039;4
7910435;1;1;1;213.70266039;3
7910435;2;1;2;213.70266039;4
7910438;1;1;1;42.654115657;3
7910438;1;1;1;42.654115657;3
7910441;1;1;1;30.046548036;2
7910441;1;1;1;30.046548036;2
7910447;1;1;1;16.278635766;2
7910447;1;1;1;16.278635766;2
7910449;1;1;1;16.278635766;2
7910449;1;1;1;16.278635766;2
7910454;1;1;1;58.867861332;2
7910454;1;1;1;58.867861332;2
7910474;1;1;1;463.61049772;4
7910474;1;1;1;463.61049772;4
7910485;1;1;1;326.52340327;3
7910485;2;1;2;326.52340327;4
7910485;1;1;1;326.52340327;3
7910485;2;1;2;326.52340327;4
7910507;1;1;1;38.362370602;2
7910507;1;1;1;38.362370602;2
7910523;1;1;1;26.221261493;3
7910523;1;1;1;26.221261493;3
7910553;1;1;1;11.375057848;1
7910553;1;1;1;11.375057848;1
7910569;1;1;1;152.32741311;2
7910569;2;1;2;152.32741311;3
7910569;1;1;1;152.32741311;2
7910569;2;1;2;152.32741311;3
7910576;1;1;1;29.318574284;3
7910594;1;1;1;63.204771896;3
7910594;1;1;1;63.204771896;3
7910598;1;1;1;213.70266039;3
7910598;1;1;1;213.70266039;3
7910603;1;1;1;169.19575395;2
7910603;2;1;2;169.19575395;3
7910603;3;1;3;169.19575395;4
7910603;4;1;4;169.19575395;5
7910603;1;1;1;169.19575395;2
7910603;2;1;2;169.19575395;3
7910603;3;1;3;169.19575395;4
7910603;4;1;4;169.19575395;5
7910610;1;1;1;48.11315354;2
7910610;1;1;1;48.11315354;2
7910627;1;1;1;252.79635678;1
7910636;1;1;1;176.69210365;4
7910678;1;1;1;168.90078847;2
7910678;2;1;2;168.90078847;3
7910678;1;1;1;168.90078847;2
7910678;2;1;2;168.90078847;3
7910708;1;1;1;150.87816305;2
7910708;1;1;1;150.87816305;2
7910717;1;1;1;11.654300501;2
7910717;1;1;1;11.654300501;2
7910720;1;1;1;98.066035842;2
7910720;1;1;1;98.066035842;2
7910721;1;1;1;134.30183276;4
7910721;2;1;2;134.30183276;5
7910721;1;1;1;134.30183276;4
7910721;2;1;2;134.30183276;5
7910724;1;1;1;43.699740571;2
7910724;2;1;2;43.699740571;3
7910724;3;1;3;43.699740571;4
7910724;1;1;1;43.699740571;2
7910724;2;1;2;43.699740571;3
7910724;3;1;3;43.699740571;4
7910732;1;1;1;66.783387524;2
7910732;2;1;2;66.783387524;3
7910732;1;1;1;66.783387524;2
7910732;2;1;2;66.783387524;3
7910756;1;1;1;43.699740571;3
7910756;1;1;1;43.699740571;3
7910760;1;1;1;578.57762995;1
7910760;1;1;1;578.57762995;1
7910784;1;1;1;230.49444845;3
7910784;1;1;1;230.49444845;3
7910792;1;1;1;48.087428926;2
7910792;2;1;2;48.087428926;3
